
2024-11-24T13:00:19.908070,12345,Toyota,5,2,101,2,1,5.66
2024-11-25T10:45:53.391788,12345,Toyota,5,2,101,2,1,5.66
2024-11-25T10:46:05.483767,12345,Toyota,5,2,101,2,1,5.66
2024-11-25T10:46:17.581064,12345,Toyota,5,2,101,2,1,5.66
2024-11-25T10:46:29.674140,12345,Toyota,5,2,101,2,1,5.66
2024-11-25T10:46:41.787772,12345,Toyota,5,2,101,2,1,5.66
2024-11-25T10:46:53.879969,12345,Toyota,5,2,101,2,1,5.66
2024-11-25T10:47:05.971153,12345,Toyota,5,2,101,2,1,5.66
2024-11-25T10:47:18.055692,12345,Toyota,5,2,101,2,1,5.66
2024-11-25T10:47:30.121800,12345,Toyota,5,2,101,2,1,5.66
2024-11-25T10:47:42.217514,12345,Toyota,5,2,101,2,1,5.66
2024-11-25T11:10:31.951084,12345,Toyota,5,4,101,2,1,-1
